index,avalanche_size
3,8
13,4
14,4
15,4
19,4
29,4
40,12
42,8
44,48
49,8
50,8
54,72
56,44
57,24
58,36
59,48
68,4
74,8
77,8
79,4
84,4
89,56
93,8
94,16
96,20
98,8
100,8
111,4
120,8
122,24
132,4
133,4
135,16
137,20
138,44
139,40
145,60
148,12
151,16
157,4
173,8
176,40
180,8
182,8
183,20
184,16
185,140
190,40
193,232
196,8
203,16
204,248
205,20
207,4
209,20
210,4
214,48
215,296
217,16
219,12
221,12
222,12
225,12
227,4
228,88
235,16
238,8
239,8
240,12
245,492
246,4
247,76
248,188
249,28
255,472
256,144
257,184
262,60
264,4
266,316
274,32
275,28
278,104
280,24
284,300
292,4
294,104
295,4
297,4
300,24
301,12
304,4
310,268
314,8
316,4
318,8
326,664
327,8
328,272
330,164
331,432
332,296
335,64
342,12
346,628
347,8
351,4
357,8
358,160
359,720
360,32
365,856
367,36
368,12
370,84
371,4
374,16
376,564
378,40
380,64
381,24
383,724
384,16
385,32
386,8
387,284
391,268
392,464
395,4
398,64
399,24
400,28
401,156
405,44
406,512
409,8
410,152
412,28
413,36
416,296
418,436
421,4
423,40
425,28
427,8
428,4
429,8
433,88
436,12
439,4
441,412
442,252
444,4
445,260
450,12
451,4
452,12
453,4
454,636
455,4
457,8
464,64
466,104
467,76
470,84
471,4
479,92
480,4
481,184
483,4
485,12
487,32
488,420
490,24
491,12
492,20
493,20
495,2200
497,4
501,8
503,360
504,376
505,8
509,20
510,4
511,4
513,12
516,108
518,92
519,96
520,48
522,180
524,88
526,32
528,300
529,260
530,8
534,68
535,8
536,16
537,56
543,388
544,496
549,64
553,20
554,8
556,432
561,32
564,40
565,32
566,640
567,32
568,16
571,448
583,48
584,132
589,8
590,292
592,1264
599,92
602,4
604,24
611,288
613,144
615,4
619,12
620,12
623,124
626,32
627,380
630,24
633,316
639,616
645,4
646,252
647,96
650,36
651,12
652,4
653,8
664,356
665,776
679,116
684,116
686,892
689,128
691,852
692,80
694,4
697,20
701,72
706,344
710,4
711,4
713,12
716,20
723,8
728,320
729,476
731,64
736,44
742,32
749,32
751,84
752,8
753,564
756,580
770,8
771,108
773,24
775,160
780,24
781,920
787,56
788,4
790,24
791,924
795,8
796,720
797,64
798,456
800,300
803,4
804,300
809,108
810,20
811,40
812,32
814,4
815,48
816,120
821,544
822,360
823,80
824,76
826,4
827,16
828,220
830,4
832,28
833,308
834,164
835,168
840,40
841,4
843,88
844,556
845,20
848,20
849,36
853,12
854,360
855,308
857,24
860,12
866,8
869,468
870,468
874,136
876,200
877,8
882,208
883,892
884,16
888,16
889,8
894,40
897,16
898,344
899,472
901,84
902,36
903,4
905,20
909,24
910,148
913,440
915,428
917,12
920,48
921,36
924,800
929,80
931,192
933,560
939,48
943,28
944,4
945,56
947,12
950,24
952,168
954,1152
956,276
957,8
958,8
960,56
963,96
965,432
966,84
968,4
976,28
978,60
979,156
980,144
983,916
984,4
986,16
987,48
988,520
995,4
996,12
997,28
998,236
1001,384
1003,16
1009,184
1011,84
1012,8
1014,4
1020,4
1021,12
1022,12
1024,532
1025,148
1029,8
1030,40
1033,484
1034,16
1036,8
1037,376
1039,452
1044,4
1047,144
1048,4
1049,232
1054,248
1055,40
1056,192
1061,180
1062,116
1063,28
1064,448
1066,124
1067,4
1069,4
1070,4
1071,264
1075,104
1076,112
1079,748
1083,4
1090,20
1091,1020
1093,4
1096,28
1098,16
1099,72
1101,248
1103,4
1104,80
1105,80
1106,24
1107,532
1108,4
1110,1084
1113,20
1114,4
1115,52
1119,80
1120,196
1121,4
1123,44
1124,124
1128,4
1130,8
1132,336
1136,16
1137,4
1138,20
1139,340
1140,92
1142,232
1144,144
1149,76
1150,4
1155,292
1157,16
1161,16
1162,380
1163,40
1165,76
1169,196
1174,72
1175,392
1176,568
1177,4
1178,4
1179,8
1180,124
1182,4
1185,4
1188,28
1190,12
1192,4
1193,16
1194,620
1195,8
1196,56
1197,420
1198,12
1200,4
1204,48
1209,320
1210,84
1213,348
1214,12
1215,12
1220,8
1222,124
1224,292
1225,168
1226,36
1227,232
1228,180
1229,260
1232,268
1233,4
1234,4
1237,12
1238,172
1240,56
1244,60
1257,196
1259,20
1260,328
1261,40
1262,24
1263,772
1264,4
1266,4
1269,208
1271,8
1275,16
1276,4
1277,24
1279,92
1280,4
1281,4
1282,4
1285,16
1289,316
1291,8
1293,4
1294,1648
1295,4
1297,52
1299,24
1312,4
1313,1296
1314,424
1315,16
1318,60
1319,468
1320,4
1325,124
1326,196
1328,4
1329,16
1335,8
1337,52
1339,28
1342,56
1345,116
1346,32
1348,20
1350,136
1352,88
1356,20
1359,24
1360,712
1361,28
1366,320
1370,364
1372,76
1373,12
1376,672
1377,84
1378,40
1379,528
1382,328
1384,8
1385,8
1390,40
1392,4
1393,316
1395,12
1399,60
1400,136
1402,36
1403,44
1406,36
1407,12
1409,1704
1412,200
1414,4
1415,228
1417,12
1421,36
1422,60
1426,4
1427,12
1430,440
1436,32
1437,20
1439,20
1440,8
1444,8
1448,336
1450,488
1451,180
1452,4
1454,52
1456,4
1461,976
1464,12
1465,320
1466,248
1467,200
1468,112
1472,380
1473,92
1474,4
1476,36
1479,4
1483,100
1484,92
1488,4
1490,104
1493,32
1495,4
1496,4
1504,4
1505,812
1506,84
1512,336
1513,8
1515,500
1517,4
1518,8
1519,28
1522,76
1523,4
1527,8
1529,4
1533,52
1535,260
1537,128
1541,8
1542,784
1545,184
1547,232
1548,16
1549,8
1553,52
1555,472
1560,100
1563,44
1565,12
1572,228
1578,180
1584,188
1585,4
1587,128
1589,24
1595,12
1596,172
1600,636
1601,24
1602,716
1603,4
1604,8
1608,12
1609,48
1610,4
1614,20
1617,8
1618,8
1619,236
1621,4
1622,1040
1623,364
1627,232
1631,100
1638,168
1642,4
1644,116
1648,268
1657,1488
1662,36
1664,656
1665,20
1666,8
1667,44
1668,28
1671,312
1673,32
1677,44
1679,80
1680,52
1682,12
1683,4
1686,4
1689,4
1691,4
1695,4
1696,984
1697,664
1698,68
1705,20
1707,644
1711,8
1712,4
1714,4
1719,524
1724,272
1726,8
1731,752
1732,76
1733,8
1740,300
1744,20
1747,104
1748,400
1749,8
1750,52
1751,360
1753,16
1756,4
1757,16
1761,292
1762,4
1764,12
1766,4
1768,12
1773,668
1780,16
1787,460
1788,396
1792,312
1793,20
1797,8
1800,288
1801,512
1802,48
1803,8
1804,4
1808,380
1814,76
1815,4
1822,8
1824,232
1826,8
1828,396
1829,144
1831,24
1832,400
1833,8
1834,132
1837,84
1840,192
1843,56
1844,92
